STATE,DISTRICT,NAME,PARTY,CHAMBER,EXPERIENCE,VOTING_MEMBER,IN_CYCLE,RETIREMENT,CPR_TOSSUP,COMMITTEE_ID,COMMITTEE_NAME,,
Iowa,4,"Feenstra, Randy",Republican,House,incumbent,Y,Y,N,N,C00693663,FEENSTRA FOR CONGRESS,,
Iowa,Senator - At Large,"Ernst, Joni",Republican,Senate,incumbent,Y,N,N,N,C00546788,JONI FOR IOWA,,
Iowa,Senator - At Large,"Grassley, Chuck",Republican,Senate,incumbent,Y,N,N,N,C00230482,"GRASSLEY COMMITTEE, INC.",,
Kansas,1,"Mann, Tracey",Republican,House,incumbent,Y,Y,N,N,C00460659,MANN FOR CONGRESS,,
Kansas,2,"LaTurner, Jake",Republican,House,incumbent,Y,Y,Y,N,C00718346,KANSANS FOR LATURNER,,
Kansas,3,"Davids, Sharice",Democratic,House,incumbent,Y,Y,N,N,C00670034,SHARICE FOR CONGRESS,,
Kansas,4,"Estes, Ron",Republican,House,incumbent,Y,Y,N,N,C00632067,RON ESTES FOR CONGRESS,,
Kansas,Senator - At Large,"Marshall, Roger",Republican,Senate,incumbent,Y,N,N,N,C00576173,KANSANS FOR MARSHALL,,
Kansas,Senator - At Large,"Moran, Jerry",Republican,Senate,incumbent,Y,N,N,N,C00458315,MORAN FOR KANSAS,,
Kentucky,1,"Comer, James",Republican,House,incumbent,Y,Y,N,N,C00588764,COMER FOR CONGRESS,,
Kentucky,2,"Guthrie, Brett",Republican,House,incumbent,Y,Y,N,N,C00445023,GUTHRIE FOR CONGRESS,,
Kentucky,3,"McGarvey, Morgan",Democratic,House,freshman,Y,Y,N,N,C00791392,MORGAN MCGARVEY FOR CONGRESS,,
Kentucky,4,"Massie, Thomas",Republican,House,incumbent,Y,Y,N,N,C00509729,THOMAS MASSIE FOR CONGRESS,,
