NAME,LEADERSHIP_PAC_1_ID,PAC 1 RECEIPTS,LEADERSHIP_PAC_2_ID,PAC 2 RECEIPTS,LEADERSHIP_PAC_3_ID,PAC 3 RECEIPTS,LEADERSHIP_PAC_4,PAC 4 RECEIPTS,TOTAL RECEIPTS,,,,,,,,,,,
"Underwood, Lauren",C00694471,169234,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Miller, Mary E.",C00805671,11067.23,,0,,#N/A,,#N/A,,,,,,,,,,,,
"LaHood, Darin",C00631051,482864.3,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sorensen, Eric",C00846071,125013.71,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Duckworth, Tammy",C00544254,659515.7,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Durbin, Richard J.",C00347195,1056565.94,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Mrvan, Frank J.",C00867986,25004,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Yakym, Rudy",C00823351,337534.95,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Banks, Jim",C00493221,2596443.19,C00326439,763746.02,C00832469,236377.28,,#N/A,,,,,,,,,,,,
"Baird, James R.",C00862730,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Spartz, Victoria",C00764134,46833.13,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Pence, Greg",C00680322,32571.06,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Carson, Andre",C00511196,43700,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bucshon, Larry",C00523381,79549.9,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Houchin, Erin",C00816389,239261.46,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Braun, Mike",C00691162,118600.67,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Young, Todd",C00687343,131500,C00551853,1228313.55,,#N/A,,#N/A,,,,,,,,,,,,
"Miller-Meeks, Mariannette",C00770255,319687.54,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Hinson, Ashley",C00762328,271000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Nunn, Zachary",C00818740,187417.85,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Feenstra, Randy",C00756825,232141.43,C00887539,11000,,#N/A,,#N/A,,,,,,,,,,,,
"Ernst, Joni",C00566851,1138783.19,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Grassley, Chuck",C00379479,540419,C00698977,38400.32,,#N/A,,#N/A,,,,,,,,,,,,
"Mann, Tracey",C00758433,180905.79,,0,,#N/A,,#N/A,,,,,,,,,,,,
"LaTurner, Jake",C00773234,93804.28,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Davids, Sharice",C00724443,215795,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Estes, Ron",C00649525,293219.46,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Marshall, Roger",C00632323,677674.02,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Moran, Jerry",C00455717,1056288.18,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Comer, James",C00650853,200200,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Guthrie, Brett",C00483487,617105.25,C00879288,15000,,#N/A,,#N/A,,,,,,,,,,,,
"McGarvey, Morgan",C00829663,127066.71,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Massie, Thomas",C00563429,172051.3,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Rogers, Harold",C00376038,387596.14,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Barr, Andy",C00572271,1185415.23,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McConnell, Mitch",C00235655,1296928.82,C00760348,81000,,#N/A,,#N/A,,,,,,,,,,,,
"Paul, Rand",C00493924,249405.05,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Scalise, Steve",C00467431,2048952.91,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Carter, Troy",C00794198,312783.9,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Higgins, Clay",C00652305,176269.36,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Johnson, Mike",C00639229,3920111.41,C00326439,763746.02,,#N/A,,#N/A,,,,,,,,,,,,
"Letlow, Julia",C00764761,264428,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Graves, Garret",C00635557,254000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cassidy, Bill",C00480228,1166416.45,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kennedy, John",C00634774,9811520.78,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Pingree, Chellie",C00840918,52222.4,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Golden, Jared F.",C00834101,140156.69,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Collins, Susan M.",C00391797,1197763.91,,0,,#N/A,,#N/A,,,,,,,,,,,,
"King, Angus S., Jr.",C00552539,332000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Harris, Andy",C00492819,115334.22,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ruppersberger, C. A. Dutch",C00448001,71095.4,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sarbanes, John P.",C00575662,11784.5,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ivey, Glenn",C00862581,10000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Hoyer, Steny H.",C00271338,8759809.31,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Trone, David J.",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Mfume, Kweisi",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Raskin, Jamie",C00664318,357569.53,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cardin, Benjamin L.",C00385534,50601,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Van Hollen, Chris",C00416743,794281.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Neal, Richard E.",C00426809,1242573.82,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McGovern, James P.",C00461251,75500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Trahan, Lori",C00787317,933158.84,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Auchincloss, Jake",C00786392,696186,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Clark, Katherine M.",C00574970,3192527.26,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Moulton, Seth",C00571174,1217488.2,C00656439,51250,,#N/A,,#N/A,,,,,,,,,,,,
"Pressley, Ayanna",C00706630,66035,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lynch, Stephen F.",C00491142,78500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Keating, William R.",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Markey, Edward J.",C00564187,491623.93,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Warren, Elizabeth",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bergman, Jack",C00636837,254113.12,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Moolenaar, John R.",C00583526,149000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Scholten, Hillary J.",C00841908,98755,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Huizenga, Bill",C00503151,543056.64,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Walberg, Tim",C00498360,89075.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Dingell, Debbie",C00451583,224800,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Slotkin, Elissa",C00832147,570421.75,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kildee, Daniel T.",C00502096,151795.71,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McClain, Lisa C.",C00764886,140072.95,,0,,#N/A,,#N/A,,,,,,,,,,,,
"James, John",C00774588,373486.15,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Stevens, Haley M.",C00746735,209402.74,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Tlaib, Rashida",C00741371,350918.78,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Thanedar, Shri",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Peters, Gary C.",C00507574,1402057,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Stabenow, Debbie",C00375584,860423.98,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Finstad, Brad",C00818542,110472.58,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Craig, Angie",C00762369,165700,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Phillips, Dean",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McCollum, Betty",C00405050,382011.87,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Omar, Ilhan",C00688846,114875.43,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Emmer, Tom",C00592089,2041942.53,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Fischbach, Michelle",C00758813,68762.42,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Stauber, Pete",C00698092,163523.94,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Klobuchar, Amy",C00431874,827853.81,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Smith, Tina",C00692111,822223.82,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kelly, Trent",C00778308,228716.68,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Thompson, Bennie G.",C00411611,186174.59,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Guest, Michael",C00689893,38700,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ezell, Mike",C00832808,11500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Hyde-Smith, Cindy",C00678813,468935.43,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Wicker, Roger F.",C00368696,900624.76,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bush, Cori",C00826917,48533,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Wagner, Ann",C00531764,468482.81,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Luetkemeyer, Blaine",C00489427,378250,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Alford, Mark",C00825398,80800,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cleaver, Emanuel",C00599092,161985.5,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Graves, Sam",C00410621,422880.7,,0,,#N/A,,#N/A,,,,,,,,,,,,
